Run #1	Index
Period (s)	Index
1.1571	1
1.1568	2
1.1586	3
1.1579	4
1.1583	5
1.1584	6
1.1573	7
1.1577	8
1.1572	9
1.1573	10
1.1573	11
1.1571	12
1.1571	13
1.1573	14
1.1576	15
1.1568	16
1.1573	17
1.1566	18
1.1579	19
1.1567	20
1.1573	21
1.1570	22
1.1569	23
1.1563	24
1.1569	25
1.1565	26
1.1567	27
1.1565	28
1.1563	29
1.1568	30
1.1563	31
1.1568	32
1.1564	33
1.1566	34
1.1562	35
1.1563	36
1.1563	37
1.1556	38
1.1560	39
1.1567	40
1.1564	41
1.1560	42
1.1560	43
1.1561	44
1.1560	45
1.1558	46
1.1560	47
1.1561	48
1.1559	49
1.1558	50
1.1559	51
1.1558	52
1.1566	53
1.1560	54
1.1560	55
1.1561	56
1.1554	57
1.1563	58
1.1554	59
1.1561	60
1.1555	61
1.1556	62
1.1557	63
1.1556	64
1.1557	65
1.1552	66
1.1564	67
1.1549	68
1.1562	69
1.1557	70
1.1555	71
1.1553	72
1.1558	73
1.1559	74
1.1555	75
1.1558	76
1.1556	77
1.1556	78
1.1556	79
1.1553	80
1.1553	81
1.1559	82
1.1553	83
1.1554	84
1.1554	85
1.1553	86
1.1554	87
1.1551	88
1.1558	89
1.1557	90
1.1543	91
1.1553	92
1.1551	93
1.1553	94
1.1552	95
1.1552	96
1.1551	97
1.1553	98
1.1552	99
1.1551	100
